GeneID,Control1,Control2,Control3,Control4,KO1,KO2,KO3,KO4
Jmjd8,208.7897,249.1999,189.416,154.8208,134.1173,130.1765,196.8663,173.0129
Ap4b1,40.00760007,35.85610057,43.71138922,46.78649041,42.77877929,50.30977512,32.21448116,38.68611209
Slc16a3,0,1.792805,1.040747,2.55199,1.734275,3.773233,1.431755,2.149228
Emc3,127.5242252,147.0100123,175.8863042,156.522077,197.7073313,177.9708295,176.1058303,171.938276
Ncoa2,35.00665,23.30647,22.89644,19.56526,49.71588,32.70135,42.23676,56.95455
Smtn,23.75451,19.72086,28.10018,28.92256,16.76466,23.89714,22.90808,16.11921
Prss8,85.01615,95.01867,84.30054,83.36502,42.77878,38.99008,24.33983,10.74614
Guk1,433.8324,433.8588,504.7625,400.6625,319.1066,427.6331,266.3064,276.1759
Rfc5,45.00855,60.95537,48.91513,43.38384,68.21481,40.24782,74.45125,74.14838
Tcaim,70.0133,53.78415,73.89306,55.29313,61.27771,69.17594,60.1337,88.11837
Ppp1r1b,60.0114,86.05464,45.79288,56.99445,10.40565,12.57744,5.011142,9.671528
Pcbp3,6.251188,1.792805,0,7.655971,3.46855,3.773233,1.431755,1.074614
Tars,973.935,1030.863,995.9952,956.1457,1113.983,880.4211,1094.576,1092.883
Gnl1,162.5308753,130.8747671,162.3565885,153.1194232,132.3829792,149.0427088,118.1197642,122.5060216
Gm15694,2.500475004,1.792805029,2.081494725,1.701326924,2.89045806,2.515488756,0.715877359,2.14922845
Gtf3c1,91.26734,64.54098,105.1155,91.87165,79.19855,66.03158,90.20055,70.92454
Atp6v0a1,195.0370503,172.1092827,174.8455569,172.6846828,186.1454991,183.6306792,158.2088963,169.7890475
Tab2,151.2787,134.4604,119.6859,125.0475,267.6564,204.3835,269.8858,300.892
Lipc,697.6325,575.4904,631.7336,530.814,1296.659,608.1194,1465.401,1547.444
Cyp2c68,268.801063,250.992704,311.1834613,239.8870963,282.6867983,436.4372992,246.9776889,352.4734657
Mrpl11,5.00095,1.792805,3.122242,0.8506635,2.312366,2.515489,3.579387,5.373071
Rbms3,3.750713,1.792805,3.122242,2.55199,8.093283,5.030978,5.011142,0
Ralgds,20.0038,10.75683,3.122242,11.05863,12.13992,22.01053,15.03342,11.82076
Otud3,16.25309,25.09927,17.69271,16.16261,10.40565,14.46406,10.73816,11.82076
Elp4,16.25308753,25.0992704,24.9779367,11.90928847,26.01412254,23.26827099,31.4986038,45.13379744
Nudt16l1,126.274,121.9107,89.50427,113.9889,113.306,71.06256,101.6546,103.163
Chchd7,171.2825378,202.5869682,206.0679777,167.580702,155.5066436,177.9708295,190.4233775,169.7890475
A630066F11Rik,10.00190002,5.378415086,5.203736812,5.954644234,4.624732897,8.175338457,3.579386795,4.298456899
Cdk19,12.50237502,8.964025143,3.122242087,13.61061539,8.671374181,10.69082721,6.442896231,8.596913798
Bid,45.00855008,48.40573577,50.99662075,68.05307696,51.45015347,40.24782009,46.53202834,54.80532546
Gtpbp3,20.0038,19.72086,9.366726,19.56526,20.23321,30.18587,23.62395,27.93997
Dvl1,245.0465504,272.5063643,212.3124619,273.9136348,273.4373325,184.2595514,244.8300568,243.937429
E030018B13Rik,1.250237502,1.792805029,4.162989449,0.850663462,0,8.175338457,0,0
Vegfb,317.5603,338.8402,292.45,309.6415,276.9059,137.0941,161.7883,152.5952
Tank,33.75641,32.27049,34.34466,22.11725,73.99573,33.9591,65.86072,70.92454
Serpina10,665.1264,763.7349,852.3721,819.1889,646.8845,501.2111,695.1169,911.2729
Ankrd13a,108.7706627,102.1898866,103.0339889,114.8395674,73.99572634,91.1864674,92.34817932,77.37222418
Antxr1,6.251187511,5.378415086,2.081494725,4.25331731,5.780916121,3.773233134,5.011141513,0
Fkbp11,166.2815878,216.9294085,310.142714,266.2576636,168.2246591,181.1151904,188.2757454,235.3405152
Psph,77.51473,50.19854,56.20036,56.99445,45.09115,45.90767,47.96378,47.28303
Snhg6,73.76401,87.84745,77.0153,75.70905,76.30809,104.3928,67.29247,69.84992
Mon1b,8.751663,19.72086,13.52972,11.05863,17.34275,14.46406,17.89693,11.82076
Setmar,7.501425,7.17122,10.40747,9.357298,9.249466,5.030978,4.295264,12.89537
Il17rb,33.75641,19.72086,30.18167,39.98118,11.56183,28.92812,9.306406,20.41767
Apbb1ip,11.25213752,7.171220114,7.285231536,48.48781733,10.40564902,13.20631597,9.306405667,10.74614225
Ccpg1os,38.75736257,32.27049051,42.67064186,38.27985579,41.62259607,32.70135383,50.11141513,49.43225434
Cgrrf1,310.0589005,261.7495342,324.713177,279.0176155,284.9991647,252.80662,299.2367361,333.1304097
Cdadc1,183.7849128,121.9107419,142.5823886,100.3782885,150.8819107,99.99067805,139.596085,143.9983061
Jade1,86.26639,59.16257,73.89306,68.90374,61.8558,62.88722,52.97492,45.1338
Nrg4,2.500475,7.17122,3.122242,5.103981,0,13.20632,0.7158774,1.074614
Rpa3,18.75356,23.30647,23.93719,23.81858,25.43603,16.97955,23.62395,24.71613
Idh2,500.095,530.6703,387.158,499.3395,243.9547,518.8196,217.6267,186.9829
Zbtb32,1.250238,5.378415,7.285232,3.402654,3.46855,1.257744,1.431755,0
Rnaseh2c,582.6107,609.5537,597.389,505.2941,391.9461,386.7564,412.3454,448.1141
Zcchc24,513.8476,385.4531,508.9255,449.1503,376.3376,353.4262,378.6991,391.1596
Csnk1g1,8.751662515,3.585610057,9.366726261,10.20796154,11.56183224,10.69082721,7.15877359,9.671528023
Car5a,407.5774257,932.2586149,571.3703019,610.7763657,182.0988578,178.5997017,286.3509436,195.5797889
Mid1ip1,586.3614,374.6963,533.9034,466.1636,305.2324,203.7546,413.0612,253.609
Yme1l1,11.25214,12.54964,15.61121,5.954644,9.827557,4.402105,8.590528,13.96998
Ube2k,8.751663,16.13525,8.325979,10.20796,8.093283,6.288722,7.874651,6.447685
Anxa13,2.500475004,3.585610057,2.081494725,1.701326924,46.24732897,1.886616567,9.306405667,3.223842674
Esrrb,3.750712506,1.792805029,2.081494725,4.25331731,3.468549672,5.659849701,4.295264154,1.074614225
Rnf138,18.75356,10.75683,11.44822,14.46128,32.95122,29.55699,30.78273,39.76073
Lime1,38.75736,46.61293,30.18167,34.8772,21.96748,34.58797,40.08913,24.71613
Ncaph,8.751663,0,3.122242,5.103981,2.312366,1.257744,3.579387,1.074614
